Province/State,Country/Region,lat,long,day,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,confirmed,deaths,recovered
,Afghanistan,33,65,0,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,75,0,0,0
,Afghanistan,33,65,1,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,63,0,0,0
,Afghanistan,33,65,2,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,92,0,0,0
,Afghanistan,33,65,3,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,6,84,0,0,0
,Afghanistan,33,65,4,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,62,0,0,0
,Afghanistan,33,65,5,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,62,0,0,0
,Afghanistan,33,65,6,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,3,47,0,0,0
,Afghanistan,33,65,7,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,40,0,0,0
,Afghanistan,33,65,8,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,35,0,0,0
,Afghanistan,33,65,9,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,5,38,0,0,0
,Afghanistan,33,65,10,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,41,0,0,0
,Afghanistan,33,65,11,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,8,41,0,0,0
,Afghanistan,33,65,12,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,4,85,0,0,0
,Afghanistan,33,65,13,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,6,72,0,0,0
,Afghanistan,33,65,14,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,39,0,0,0
,Afghanistan,33,65,15,38928346,9732086,60,18,-999,-999,-999,60,0.5,-999,-999,-999,7,40,0,0,0
